Individual,PC1,PC2,PC3,PC4,Population
HGDP00774,-0.029,0.0158,-0.0014,-0.012,Han
HGDP00775,-0.0288,0.0142,-0.0011,-7e-4,Han
HGDP00776,-0.0289,0.017,-0.0014,-0.0129,Han
HGDP00777,-0.0279,0.0119,-0.0011,0.005,Han
HGDP00779,-0.0289,0.0129,-9e-4,-0.0012,Han
HGDP00780,-0.0282,0.0146,-0.0015,-0.0095,Han
HGDP00781,-0.0285,0.0174,-0.0016,-0.0154,Han
HGDP00782,-0.0287,0.0129,-0.0011,-0.0026,Han
HGDP00783,-0.0284,0.0126,-9e-4,0.0018,Han
HGDP00784,-0.0285,0.0149,-0.0012,-0.0082,Han
HGDP00785,-0.0284,0.017,-0.0019,-0.0115,Han
HGDP00786,-0.0292,0.0142,-0.0015,-0.0074,Han
HGDP00811,-0.0297,0.0154,-0.0015,-0.0071,Han
HGDP00812,-0.0283,0.0164,-0.0018,-0.0117,Han
HGDP00813,-0.0295,0.0155,-0.0013,-0.0082,Han
HGDP00814,-0.0288,0.0119,-9e-4,4e-4,Han
HGDP00815,-0.0288,0.0131,-0.0013,-0.0019,Han
HGDP00817,-0.0283,0.0168,-0.0016,-0.0122,Han
HGDP00818,-0.0293,0.0146,-0.0014,-0.0056,Han
HGDP00819,-0.0293,0.0171,-0.0016,-0.0116,Han
HGDP00820,-0.0285,0.0159,-0.0018,-0.0113,Han
HGDP00821,-0.0289,0.0169,-0.0015,-0.0144,Han
HGDP00822,-0.0292,0.0147,-0.0014,-0.0032,Han
HGDP00971,-0.0282,0.0122,-8e-4,0.0028,Han
HGDP00972,-0.0289,0.0145,-0.0013,-0.0091,Han
HGDP00973,-0.0294,0.0145,-0.001,-0.0042,Han
HGDP00974,-0.0284,0.017,-0.0017,-0.0102,Han
HGDP00975,-0.0288,0.0174,-0.0014,-0.014,Han
HGDP00976,-0.0288,0.0129,-7e-4,-0.0013,Han
HGDP00977,-0.0291,0.0151,-0.0014,-0.0072,Han
HGDP01021,-0.0294,0.0158,-0.0015,-0.0084,Han
HGDP01023,-0.0285,0.0121,-8e-4,0.003,Han
HGDP01024,-0.0282,0.0129,-7e-4,-1e-4,Han
HGDP01287,-0.0274,0.0108,-8e-4,0.0017,Han
HGDP01288,-0.0276,0.0109,-6e-4,0.0018,Han
HGDP01289,-0.0278,0.0106,-0.0011,0.003,Han
HGDP01290,-0.0275,0.0098,-8e-4,0.0027,Han
HGDP01291,-0.0275,0.0114,-9e-4,0.0048,Han
HGDP01292,-0.028,0.0105,-9e-4,0.0031,Han
HGDP01293,-0.0275,0.0115,-5e-4,0.0049,Han
HGDP01294,-0.0276,0.0123,-0.0013,0.0021,Han
HGDP01295,-0.0274,0.0096,-7e-4,0.0071,Han
HGDP01296,-0.0271,0.0113,-6e-4,0.0048,Han
HGDP00747,-0.0286,0.0085,-2e-4,0.0067,Japanese
HGDP00748,-0.0284,0.0095,-3e-4,0.008,Japanese
HGDP00749,-0.0285,0.0077,-5e-4,0.0068,Japanese
HGDP00750,-0.0284,0.0081,-3e-4,0.01,Japanese
HGDP00751,-0.0277,0.0094,-7e-4,0.0041,Japanese
HGDP00752,-0.0287,0.0092,-5e-4,0.0051,Japanese
HGDP00753,-0.0283,0.0083,0,0.0061,Japanese
HGDP00754,-0.0282,0.009,-2e-4,0.0081,Japanese
HGDP00755,-0.0283,0.0089,-4e-4,0.0044,Japanese
HGDP00756,-0.0284,0.0075,-5e-4,0.0059,Japanese
HGDP00757,-0.0282,0.0087,-5e-4,0.0068,Japanese
HGDP00758,-0.0282,0.0087,-5e-4,0.0062,Japanese
HGDP00759,-0.0294,0.009,-2e-4,0.0071,Japanese
HGDP00760,-0.0291,0.0082,-3e-4,0.0078,Japanese
HGDP00761,-0.0282,0.0088,-6e-4,0.0062,Japanese
HGDP00762,-0.0285,0.0081,-2e-4,0.0069,Japanese
HGDP00763,-0.0286,0.009,-3e-4,0.0054,Japanese
HGDP00764,-0.0281,0.0083,-4e-4,0.0049,Japanese
HGDP00765,-0.0283,0.0084,-7e-4,0.0055,Japanese
HGDP00766,-0.0285,0.0087,-1e-4,0.0057,Japanese
HGDP00767,-0.0282,0.0085,-3e-4,0.0077,Japanese
HGDP00768,-0.0287,0.0084,-3e-4,0.008,Japanese
HGDP00769,-0.0286,0.0094,-7e-4,0.0049,Japanese
HGDP00771,-0.0288,0.0084,-4e-4,0.0074,Japanese
HGDP00772,-0.028,0.0089,-7e-4,0.0063,Japanese
HGDP00773,-0.0281,0.0093,-4e-4,0.0025,Japanese
HGDP00790,-0.0284,0.0078,0,0.0072,Japanese
HGDP00791,-0.0284,0.0086,-3e-4,0.0091,Japanese
HGDP00828,-0.0283,0.0091,-3e-4,0.0064,Japanese
ND19394,-0.0285,0.0115,-7e-4,0.0029,Korean
ND22219,-0.0292,0.0092,-6e-4,0.0065,Korean
NA00726,-0.0289,0.0094,-6e-4,0.0097,Korean
ND13299,-0.029,0.0084,-3e-4,0.0068,Korean
ND14916,-0.0295,0.0093,-4e-4,0.0087,Korean
ND15143,-0.0288,0.0088,-4e-4,0.0058,Korean
HGDP01189,-0.0281,0.0155,-0.0013,-0.009,Miao
HGDP01190,-0.0285,0.0149,-0.0014,-0.0052,Miao
HGDP01191,-0.0287,0.0162,-0.0015,-0.0083,Miao
HGDP01192,-0.0288,0.0154,-0.0011,-0.0065,Miao
HGDP01193,-0.0287,0.016,-0.0015,-0.0082,Miao
HGDP01194,-0.0283,0.0161,-0.0016,-0.0102,Miao
HGDP01195,-0.0285,0.0145,-0.0015,-0.0082,Miao
HGDP01196,-0.0289,0.0152,-0.0015,-0.0055,Miao
HGDP01197,-0.0284,0.0157,-0.0015,-0.0059,Miao
HGDP01198,-0.0283,0.0151,-0.0011,-0.0094,Miao
HGDP01337,-0.0274,0.0106,-5e-4,0.0017,Naxi
HGDP01338,-0.0279,0.0113,-0.001,0.0026,Naxi
HGDP01339,-0.0275,0.0116,-7e-4,0.0011,Naxi
HGDP01340,-0.0272,0.0099,-7e-4,0.0019,Naxi
HGDP01341,-0.027,0.0104,-4e-4,0.004,Naxi
HGDP01342,-0.0276,0.0112,-8e-4,0.0028,Naxi
HGDP01344,-0.0275,0.0112,-8e-4,0.0064,Naxi
HGDP01345,-0.0274,0.0109,-6e-4,0.0047,Naxi
HGDP01346,-0.0273,0.0108,-7e-4,0.0035,Naxi
Smd6_1,-0.0263,0.0209,-0.0024,-0.0304,Semende
Smd9_1,-0.0267,0.0215,-0.0018,-0.032,Semende
Smd10_1,-0.0263,0.0206,-0.0016,-0.028,Semende
Smd14_1,-0.0263,0.0202,-0.0016,-0.0276,Semende
Smd15_1,-0.0265,0.0214,-0.0016,-0.0291,Semende
Smd1_1,-0.0262,0.0214,-0.0022,-0.0308,Semende
Smd18_1,-0.0268,0.0218,-0.0021,-0.0309,Semende
Smd3_1,-0.0261,0.0224,-0.0019,-0.0311,Semende
Smd19_1,-0.0264,0.0219,-0.0023,-0.0292,Semende
Smd5_1,-0.0271,0.0221,-0.002,-0.03,Semende
CHI007,-0.0227,0.0164,-7e-4,-0.0159,Thai
CHI034,-0.0266,0.0184,-0.0018,-0.0192,Thai
DCH002,-0.0211,0.0158,-9e-4,-0.0183,Thai
DCH006,-0.0209,0.0166,-0.0013,-0.0162,Thai
DCH007,-0.0253,0.0155,-0.0012,-0.0143,Thai
DCH008,-0.0207,0.0163,-9e-4,-0.0148,Thai
DCH009,-0.0241,0.016,-0.001,-0.0151,Thai
DCH010,-0.0214,0.0165,-0.001,-0.0193,Thai
DCH011,-0.0214,0.0165,-5e-4,-0.0191,Thai
DCH012,-0.0219,0.0162,-0.0011,-0.015,Thai
HGDP01317,-0.0279,0.0171,-0.0012,-0.0114,Lahu
HGDP01318,-0.0273,0.0174,-0.001,-0.0147,Lahu
HGDP01319,-0.0267,0.0165,-0.0015,-0.0119,Lahu
HGDP01320,-0.0275,0.0173,-0.0015,-0.0148,Lahu
HGDP01321,-0.0274,0.0168,-0.0014,-0.0166,Lahu
HGDP01322,-0.0271,0.0179,-0.0015,-0.0157,Lahu
HGDP01323,-0.0274,0.0165,-0.0011,-0.0139,Lahu
HGDP01326,-0.0276,0.0161,-0.0011,-0.0115,Lahu
HG01842,-0.027,0.0186,-0.0017,-0.0144,Kinh
HG01844,-0.027,0.0173,-0.0012,-0.0179,Kinh
HG01846,-0.027,0.0185,-0.0016,-0.0166,Kinh
HG01600,-0.028,0.0179,-0.0014,-0.0195,Kinh
HG01595,-0.0271,0.0186,-0.0012,-0.016,Kinh
HG01596,-0.0271,0.0172,-0.0015,-0.0155,Kinh
HG01597,-0.0279,0.0177,-0.0017,-0.0186,Kinh
HG01598,-0.0274,0.0176,-0.0017,-0.017,Kinh
HGDP01327,-0.0287,0.0172,-0.0014,-0.0116,She
HGDP01328,-0.029,0.0155,-0.0013,-0.0059,She
HGDP01329,-0.0289,0.015,-0.0014,-0.0065,She
HGDP01330,-0.0293,0.0157,-0.0015,-0.0096,She
HGDP01331,-0.0291,0.0159,-0.0015,-0.0117,She
HGDP01332,-0.0291,0.0165,-0.0016,-0.0091,She
HGDP01333,-0.0286,0.015,-0.0012,-0.0089,She
HGDP01334,-0.0285,0.0158,-0.0015,-0.0078,She
HGDP01335,-0.0287,0.0162,-0.0014,-0.0094,She
HGDP01336,-0.0286,0.0158,-0.0012,-0.0087,She
Bor6_1,-0.025,0.0216,-0.0018,-0.0305,Borneo
Bor7_2,-0.025,0.0207,-0.002,-0.0314,Borneo
Bor9_3,-0.0258,0.0212,-0.0016,-0.0305,Borneo
Bor1_5,-0.0254,0.0204,-0.0016,-0.0305,Borneo
Bor16_1,-0.0252,0.02,-0.0018,-0.0294,Borneo
Bor2_3,-0.026,0.0212,-0.0018,-0.0314,Borneo
Bor20_1,-0.0253,0.0205,-0.0017,-0.0305,Borneo
Bor3_3,-0.0258,0.0209,-0.0018,-0.032,Borneo
Bor4_5,-0.0251,0.0216,-0.0017,-0.0315,Borneo
HGDP00713,-0.0223,0.0185,-0.0015,-0.0196,Cambodian
HGDP00714,-0.0245,0.0176,-0.0013,-0.0207,Cambodian
HGDP00715,-0.0216,0.0177,-9e-4,-0.0229,Cambodian
HGDP00716,-0.0251,0.0178,-0.0011,-0.0146,Cambodian
HGDP00717,-0.0235,0.0192,-0.0011,-0.0224,Cambodian
HGDP00719,-0.0245,0.0169,-0.0013,-0.0167,Cambodian
HGDP00720,-0.023,0.0173,-0.0012,-0.0199,Cambodian
HGDP00721,-0.0224,0.0185,-0.0011,-0.0229,Cambodian
HGDP01307,-0.0278,0.0189,-0.0015,-0.0186,Dai
HGDP01308,-0.027,0.019,-0.0016,-0.0182,Dai
HGDP01309,-0.0278,0.0192,-0.0016,-0.022,Dai
HGDP01310,-0.0275,0.0199,-0.002,-0.0214,Dai
HGDP01311,-0.0275,0.0191,-0.0017,-0.0187,Dai
HGDP01312,-0.028,0.0198,-0.0019,-0.0209,Dai
HGDP01313,-0.0277,0.0186,-0.0015,-0.0234,Dai
HGDP01314,-0.0282,0.0187,-0.0015,-0.0195,Dai
HGDP01315,-0.0276,0.0186,-0.0016,-0.0183,Dai
HGDP01316,-0.0275,0.0194,-0.0018,-0.0219,Dai
T_Sherpa-1.DG,-0.0255,0.0075,-4e-4,0.0106,Sherpa.DG
T_Sherpa-2.DG,-0.0256,0.0067,2e-4,0.0109,Sherpa.DG
T_Tibetan-2.DG,-0.0245,0.0067,0,0.0113,Tibetan.DG
T_Tibetan-1.DG,-0.0247,0.0072,-2e-4,0.0122,Tibetan.DG
HGDP00001,0.0094,0.0028,0.0025,3e-4,Brahui
HGDP00003,0.0094,0.0019,0.0027,-0.002,Brahui
HGDP00005,0.0086,0.0017,0.0027,-6e-4,Brahui
HGDP00007,0.0097,0.0031,0.0024,-2e-4,Brahui
HGDP00011,0.0094,0.0027,0.0024,-2e-4,Brahui
HGDP00015,0.0099,0.0028,0.0027,9e-4,Brahui
HGDP00017,0.0099,0.0024,0.0024,0.0021,Brahui
HGDP00019,0.0089,0.0024,0.0022,0.0028,Brahui
HGDP00021,0.0102,0.0035,0.003,0.0012,Brahui
HGDP00023,0.0099,0.0016,0.0029,-1e-4,Brahui
HGDP00025,0.0097,0.0023,0.0026,-3e-4,Brahui
HGDP00027,0.0095,0.003,0.0027,-0.0019,Brahui
HGDP00031,0.0096,0.0023,0.0024,-0.0022,Brahui
HGDP00033,0.0098,0.0028,0.0024,0,Brahui
HGDP00035,0.0087,0.0036,0.003,-4e-4,Brahui
HGDP00037,0.0097,0.0023,0.0021,-0.0017,Brahui
HGDP00039,0.0078,0.0026,0.0026,6e-4,Brahui
HGDP00043,0.01,0.0032,0.0031,-5e-4,Brahui
HGDP00045,0.0098,0.0022,0.0024,-0.0012,Brahui
HGDP00047,0.0103,0.0043,0.004,0.0011,Brahui
HGDP00049,0.0095,0.0019,0.0024,-0.0014,Brahui
HGDP00052,0.01,0.0022,0.0025,-6e-4,Balochi
HGDP00054,0.011,0.0011,0.0023,0.001,Balochi
HGDP00056,0.0074,0.0025,0.0022,-8e-4,Balochi
HGDP00058,0.0087,0.0019,0.002,0.0011,Balochi
HGDP00062,0.0106,0.0031,0.0034,0.0023,Balochi
HGDP00064,0.0104,0.0024,0.0029,6e-4,Balochi
HGDP00066,0.0096,0.0019,0.002,2e-4,Balochi
HGDP00068,0.0077,0.0016,0.0024,-0.0011,Balochi
HGDP00072,0.01,0.0019,0.0022,-0.001,Balochi
HGDP00074,0.0102,0.003,0.0028,0.0027,Balochi
HGDP00078,0.0102,0.0031,0.0036,-0.001,Balochi
HGDP00080,0.0101,0.0027,0.0028,5e-4,Balochi
HGDP00082,0.0097,0.0011,0.0014,2e-4,Balochi
HGDP00086,0.0101,0.002,0.0024,1e-4,Balochi
HGDP00088,0.0098,0.0025,0.0027,-8e-4,Balochi
HGDP00090,0.0081,0.0022,0.0027,-0.0012,Balochi
HGDP00092,0.0084,0.003,0.0026,4e-4,Balochi
HGDP00094,0.0089,0.0016,0.002,5e-4,Balochi
HGDP00096,0.0091,0.0025,0.0025,-0.0015,Balochi
HGDP00098,0.009,0.0028,0.0032,4e-4,Balochi
HGDP00099,-0.0086,-7e-4,3e-4,0.0113,Hazara
HGDP00103,-0.009,-6e-4,5e-4,0.01,Hazara
HGDP00106,-0.007,0.0013,-5e-4,0.0115,Hazara
HGDP00109,-0.008,-0.001,3e-4,0.0104,Hazara
HGDP00110,-0.0065,0.0019,2e-4,0.0099,Hazara
HGDP00115,-0.0085,-0.0012,1e-4,0.0106,Hazara
HGDP00116,-0.008,1e-4,3e-4,0.01,Hazara
HGDP00118,-0.0071,4e-4,5e-4,0.0093,Hazara
HGDP00120,-0.0073,0,5e-4,0.0093,Hazara
HGDP00121,-0.0084,8e-4,0,0.0116,Hazara
HGDP00122,-0.0083,6e-4,1e-4,0.0138,Hazara
HGDP00124,-0.0067,-8e-4,1e-4,0.0083,Hazara
HGDP00125,-0.008,9e-4,3e-4,0.0102,Hazara
HGDP00127,-0.0082,-2e-4,1e-4,0.0122,Hazara
HGDP00131,0.0108,0.0037,0.0033,1e-4,Makrani
HGDP00133,0.0105,0.0023,0.0033,0.0028,Makrani
HGDP00134,0.0107,0.004,0.0048,0.0011,Makrani
HGDP00135,0.0105,0.0024,0.0025,-5e-4,Makrani
HGDP00136,0.0099,0.0034,0.0037,0.0022,Makrani
HGDP00137,0.0107,0.0043,0.0036,-9e-4,Makrani
HGDP00140,0.0094,0.0035,0.0039,-0.002,Makrani
HGDP00141,0.0104,0.0045,0.004,-7e-4,Makrani
HGDP00144,0.0105,0.0037,0.0039,-0.0012,Makrani
HGDP00145,0.0106,0.0041,0.0042,-0.0015,Makrani
HGDP00146,0.0115,0.0034,0.0037,-1e-4,Makrani
HGDP00148,0.0103,0.0036,0.0046,0.0021,Makrani
HGDP00151,0.011,0.004,0.0046,-6e-4,Makrani
HGDP00153,0.0106,0.0056,0.0053,0.0024,Makrani
HGDP00154,0.0108,0.0027,0.0043,4e-4,Makrani
HGDP00155,0.011,0.0021,0.0036,-0.0015,Makrani
HGDP00157,0.0109,0.0038,0.0042,-1e-4,Makrani
HGDP00158,0.0102,0.0023,0.0028,9e-4,Makrani
HGDP00160,0.0103,0.0031,0.0032,1e-4,Makrani
HGDP00161,0.0105,0.0038,0.0042,0.0012,Makrani
HGDP00213,0.0087,2e-4,6e-4,-0.003,Pathan
HGDP00216,0.0067,0.0017,0.001,2e-4,Pathan
HGDP00218,0.0079,1e-4,9e-4,-8e-4,Pathan
HGDP00222,0.0071,0.0014,6e-4,-0.0032,Pathan
HGDP00224,0.0078,0.0011,5e-4,-0.0031,Pathan
HGDP00226,0.0074,8e-4,0.0013,-1e-4,Pathan
HGDP00228,0.0066,9e-4,0.0011,-0.0014,Pathan
HGDP00230,0.007,9e-4,3e-4,-9e-4,Pathan
HGDP00232,0.0067,0.0013,8e-4,-0.0014,Pathan
HGDP00241,0.0084,6e-4,7e-4,-0.002,Pathan
HGDP00243,0.0091,1e-4,0.0011,-0.0011,Pathan
HGDP00244,0.0068,8e-4,0.0011,-3e-4,Pathan
HGDP00247,0.0068,7e-4,0.0013,-0.0014,Pathan
HGDP00248,0.0065,9e-4,0.0012,-0.0019,Pathan
HGDP00254,0.008,7e-4,9e-4,-0.0013,Pathan
HGDP00258,0.0054,0.001,0.0011,5e-4,Pathan
HGDP00259,0.0084,1e-4,7e-4,-9e-4,Pathan
HGDP00262,0.0074,0.0014,7e-4,-9e-4,Pathan
HGDP00264,0.0065,0.0014,8e-4,-0.0022,Pathan
HGDP00267,0.0081,-6e-4,7e-4,1e-4,Kalash
HGDP00277,0.0082,-5e-4,6e-4,-0.002,Kalash
HGDP00281,0.0078,1e-4,8e-4,-0.0029,Kalash
HGDP00285,0.0081,1e-4,6e-4,1e-4,Kalash
HGDP00286,0.0076,0,5e-4,-0.0012,Kalash
HGDP00288,0.0079,5e-4,6e-4,-0.0018,Kalash
HGDP00290,0.0075,0.0012,4e-4,-0.0032,Kalash
HGDP00298,0.0079,1e-4,4e-4,-0.0024,Kalash
HGDP00302,0.0075,-3e-4,3e-4,-0.0021,Kalash
HGDP00307,0.0078,5e-4,3e-4,-0.0021,Kalash
HGDP00311,0.0073,1e-4,3e-4,-0.0018,Kalash
HGDP00313,0.0073,6e-4,6e-4,-8e-4,Kalash
HGDP00315,0.0078,5e-4,1e-4,5e-4,Kalash
HGDP00319,0.008,4e-4,7e-4,-3e-4,Kalash
HGDP00323,0.0085,7e-4,6e-4,-4e-4,Kalash
HGDP00328,0.0079,-8e-4,0.001,-4e-4,Kalash
HGDP00330,0.0077,-8e-4,3e-4,-8e-4,Kalash
HGDP00333,0.0078,0,4e-4,-0.0031,Kalash
Mala1,-0.0014,0.0051,0.002,-0.0042,Mala
Mala2,-0.0022,0.0049,0.0014,-0.0041,Mala
Mala3,-0.0026,0.0062,0.0016,-0.004,Mala
Mala4,-0.0028,0.0061,0.0018,-0.0034,Mala
Mala5,-0.0029,0.0064,0.0019,-0.0036,Mala
Mala6,-0.0026,0.0056,0.0019,-0.0044,Mala
Mala7,-0.0023,0.0055,0.0021,-0.0026,Mala
Mala8,-0.0025,0.0054,0.002,-0.0055,Mala
Mala9,-0.0018,0.0053,0.002,-0.0035,Mala
Mala10,-0.0025,0.0053,0.0023,-0.0032,Mala
Mala11,-0.0027,0.0061,0.0016,-0.0039,Mala
Mala12,-0.0027,0.0059,0.0019,-0.0045,Mala
Mala13,-0.0032,0.0055,0.0018,-0.0069,Mala
Kivutkalns153,0.015,-0.006,-0.0068,-0.0058,Baltic_BA
Kivutkalns164,0.0155,-0.0059,-0.0071,-0.005,Baltic_BA
Kivutkalns194,0.0154,-0.0055,-0.0062,-0.0063,Baltic_BA
Kivutkalns19,0.015,-0.0069,-0.0071,-0.0053,Baltic_BA
Kivutkalns207,0.015,-0.0063,-0.0071,-0.0042,Baltic_BA
Kivutkalns209,0.0152,-0.0051,-0.0066,-0.0027,Baltic_BA
Kivutkalns215,0.0154,-0.0059,-0.0068,-0.0055,Baltic_BA
Kivutkalns222,0.0151,-0.005,-0.0068,-0.0042,Baltic_BA
Kivutkalns25,0.0151,-0.006,-0.0066,-0.0089,Baltic_BA
Kivutkalns42,0.0153,-0.0056,-0.0065,-0.0052,Baltic_BA
Turlojiske1932,0.0158,-0.0056,-0.0063,-0.0033,Baltic_BA
Turlojiske1,0.0146,-0.0059,-0.0064,-0.008,Baltic_BA
Turlojiske3,0.0147,-0.0058,-0.0064,-0.004,Baltic_BA
Turlojiske5,0.0143,-0.0074,-0.0067,-0.0081,Baltic_BA
Latvia_MN2.SG,0.0093,-0.0138,-0.0081,-0.0117,Baltic_CCC
MA974.SG,0.0102,-0.0151,-0.0099,-0.0099,Baltic_CCC
MA975.SG,0.0111,-0.0128,-0.0072,-0.0053,Baltic_CCC
Kunila2,0.0141,-0.0036,-0.0034,-6e-4,Baltic_CCC
Tamula1,0.0118,-0.011,-0.009,-0.011,Baltic_CCC
Tamula3,0.0107,-0.0134,-0.0097,-0.0115,Baltic_CCC
Latvia_LN1.SG,0.0137,-0.0078,-0.0055,-0.0045,Baltic_CWC
MA826.RISE00.SG,0.015,-0.0044,-0.004,-0.004,Baltic_CWC
MA968.MA976.SG,0.0142,-0.0045,-0.0037,-0.0039,Baltic_CWC
MA969.SG,0.0141,-0.0059,-0.0046,-0.0015,Baltic_CWC
MA971.SG,0.014,-0.0054,-0.0032,-0.0058,Baltic_CWC
MA976.SG,0.0141,-0.0051,-0.0041,-0.0034,Baltic_CWC
Gyvakarai1,0.013,-0.0065,-0.0039,-0.0035,Baltic_LN
Plinkaigalis241,0.0149,-0.0042,-0.0044,-0.0031,Baltic_LN
Plinkaigalis242,0.0133,-0.0071,-0.0054,-0.0028,Baltic_LN
Spiginas2,0.0146,-0.0057,-0.0062,-0.0058,Baltic_LN
I0211,0.0089,-0.016,-0.0091,-0.0128,EHG
I0061,0.0081,-0.0173,-0.0083,-0.0106,EHG
Popovo2,0.0091,-0.0146,-0.0079,-0.0078,EHG
UzOO77,0.0084,-0.0169,-0.008,-0.0109,EHG
Latvia_HG1.SG,0.0143,-0.0099,-0.0104,-0.0098,Kunda
Donkalnis4,0.0133,-0.009,-0.0117,-0.0011,Kunda
Spiginas4,0.014,-0.0081,-0.0118,-0.0086,Kunda
Latvia_HG3.SG,0.0133,-0.0102,-0.0111,-0.0091,Latvia_HG3
Latvia_MN1.SG,0.0137,-0.0069,-0.0098,-0.0095,Latvia_MN1
Latvia_HG2.SG,0.0139,-0.0092,-0.0113,-0.01,Narva
Donkalnis1,0.0149,-0.0084,-0.0081,-0.0017,Narva
Donkalnis6,0.0148,-0.0074,-0.012,-0.0079,Narva
Donkalnis7,0.0141,-0.0099,-0.0108,-0.0078,Narva
Kivisaare3,0.0134,-0.0087,-0.0103,-0.0103,Narva
Kretuonas1,0.0144,-0.0089,-0.011,-0.0105,Narva
Kretuonas2,0.0146,-0.0091,-0.0116,-0.0107,Narva
Kretuonas4,0.0142,-0.009,-0.012,-0.0057,Narva
Spiginas1,0.0146,-0.0083,-0.012,-0.0101,Narva
Veibri4,0.0132,-0.0113,-0.011,-0.0079,Narva
Olsund,0.0145,-0.0036,-0.0045,-0.0045,Scandinavia_LNBA
I0013,0.0133,-0.0104,-0.0101,-0.0108,SHG
I0011,0.0126,-0.0111,-0.0111,-0.0074,SHG
I0015,0.0128,-0.0111,-0.0108,-0.0104,SHG
I0012,0.0125,-0.0109,-0.0115,-0.0109,SHG
I0014,0.0124,-0.0113,-0.0109,-0.009,SHG
I0017,0.013,-0.0111,-0.0107,-0.0089,SHG
MotalaAA,0.0124,-0.0105,-0.0108,-0.0087,SHG
Ukraine_HG1.SG,0.0123,-0.0083,-0.0086,-0.0071,Ukraine_HG1
Ukraine_N1.SG,0.0125,-0.0114,-0.0087,-0.0084,Ukraine_N1
Ajvide52.SG,0.0145,-0.0043,-0.0045,-0.0086,PWC_Sweden_NHG.SG
Ajvide53.SG,0.014,-0.0063,-0.0086,-0.0042,PWC_Sweden_NHG.SG
Ajvide58.SG,0.014,-0.0062,-0.0073,-0.0091,PWC_Sweden_NHG.SG
Ajvide59.SG,0.0186,9e-4,-0.0043,-0.0044,PWC_Sweden_NHG.SG
Ajvide70.SG,0.0152,-0.0066,-0.0061,-0.0081,PWC_Sweden_NHG.SG
Ire8.SG,0.015,-0.003,-0.0047,-0.0098,PWC_Sweden_NHG.SG
Gokhem2.SG,0.019,0.0034,-5e-4,-0.0012,TRB_Sweden_MN.SG
Gokhem4.SG,0.0187,1e-4,-0.002,-0.005,TRB_Sweden_MN.SG
Gokhem5.SG,0.0192,0.0016,5e-4,-0.0042,TRB_Sweden_MN.SG
Gokhem7.SG,0.0201,0.0032,-0.0021,-0.0016,TRB_Sweden_MN.SG
StoraForvar11.SG,0.0153,-0.0068,-0.0062,-0.0061,Sweden_HG.SG
Kvarlov5164,0.018,0.0023,-0.002,-8e-4,EN_TRB
